date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:50	164423/164423	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Sep%202018%2011:25:02%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-09/antiquityBg_0.jpg	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-09/antiquityBg_0.jpg	(from https://www.experiencecommerce.com/)
11:39:50	153249/153249	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Oct%202018%2016:55:58%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/Diagio.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/Diagio.png	(from https://www.experiencecommerce.com/)
11:39:50	10509/10509	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Sep%202018%2010:08:00%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-09/Client_Diageo_logo.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-09/Client_Diageo_logo.png	(from https://www.experiencecommerce.com/)
11:39:50	213548/213548	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Oct%202018%2010:01:04%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/fortuneBg.jpg	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/fortuneBg.jpg	(from https://www.experiencecommerce.com/)
11:39:51	217321/217321	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Oct%202018%2016:55:18%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/Adani-Wilmer.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/Adani-Wilmer.png	(from https://www.experiencecommerce.com/)
11:39:51	7572/7572	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Sep%202018%2009:34:56%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-09/Client_Adani_logo.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-09/Client_Adani_logo.png	(from https://www.experiencecommerce.com/)
11:39:51	452/452	---M--	302	error ('Found')	text/html	date:Sat,%2020%20Apr%202019%2006:11:21%20GMT	https://www.experiencecommerce.com//showcase/pet-pujo	D:/websites/travel_theme/yugen/www.experiencecommerce.com/showcase/pet-pujo	(from https://www.experiencecommerce.com/)
11:39:52	32217/32217	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202019%2006:11:21%20GMT	https://www.experiencecommerce.com/showcase/pet-pujo	D:/websites/travel_theme/yugen/www.experiencecommerce.com/showcase/pet-pujo.html	(from https://www.experiencecommerce.com/)
11:39:52	1974/1974	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Nov%202018%2014:29:34%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-11/Client_llh_logo.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-11/Client_llh_logo.png	(from https://www.experiencecommerce.com/)
11:39:52	405112/405112	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Nov%202018%2016:17:09%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-11/LH%20(3).png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-11/LH%20(3).png	(from https://www.experiencecommerce.com/)
11:39:52	820427/820427	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Nov%202018%2013:28:34%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-11/LHBg%20(3).png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-11/LHBg%20(3).png	(from https://www.experiencecommerce.com/)
